Month,WeekIndex,Start,End,Focus,Tasks
2025-08,1,2025-08-28,2025-09-03,TCA基线起步,搭仓库/读取分钟线数据 ; 实现 VWAP/TWAP/POV ; 计算 IS（统一基准）
2025-09,1,2025-09-04,2025-09-10,统计图表与CI,Bootstrap CI（三基线 IS） ; IS分布/均值±CI图 ; 方法说明草稿
2025-09,2,2025-09-11,2025-09-17,日内量曲线/波动率估计,估计量曲线（分桶/核平滑） ; 滚动波动率估计 ; 记录假设与参数
2025-09,3,2025-09-18,2025-09-24,自适应切片雏形,基于滚动波动或量占比阈值的加减速 ; A/B 对比基线 ; 统计检验输出
2025-09,4,2025-09-25,2025-10-01,小报告V0.1与工程整理,6–8页报告初稿 ; README/运行脚本 ; 最少2个单测
2025-10,1,2025-10-02,2025-10-08,AC 参数校准,量曲线/波动率定稿 ; 设暂时/永久冲击函数 ; λ网格定义
2025-10,2,2025-10-09,2025-10-15,AC 回放与前沿,回放不同 λ ; 输出成本–风险前沿 ; 与基线对照
2025-10,3,2025-10-16,2025-10-22,自适应执行 V1,触发因子（波动/量占比/价变动三选二） ; 偏离限制与风控
2025-10,4,2025-10-23,2025-10-29,报告V1 + 工程化1,TCA报告V1（10–12页） ; 目录/配置/脚本 ; 单测≥3
2025-10,5,2025-10-30,2025-11-05,报告V1 + 工程化1,TCA报告V1（10–12页） ; 目录/配置/脚本 ; 单测≥3
2025-11,1,2025-11-06,2025-11-12,成本分解,实现Spread/Timing/Impact ; 样例标的演示 ; 记录假设局限
2025-11,2,2025-11-13,2025-11-19,分市场/时段分析,行业/流动性/时段分组 ; 可视化面板 ; 结论摘要
2025-11,3,2025-11-20,2025-11-26,鲁棒性与FDR,多重比较（BH/FDR） ; 必要时HAC/新息误差 ; 鲁棒性表
2025-11,4,2025-11-27,2025-12-03,路演v0.1,整理3张核心图 ; 15分钟讲稿 ; 录一次演示（可选）
2025-12,1,2025-12-04,2025-12-10,报告V2与数据清理,处理缺失/异常 ; 刷新主要图表 ; 报告V2修订
2025-12,2,2025-12-11,2025-12-17,工程与性能记录,配置化/日志/随机种子 ; profiling记录一次 ; 补测试
2025-12,3,2025-12-18,2025-12-24,项目2数据准备,构造L1/分钟特征近似订单流 ; 定义标签：成交概率/冲击 ; 划分集合
2025-12,4,2025-12-25,2025-12-31,项目2基线,Logit/岭回归基线 ; 评估与校准 ; 接入执行对照
2026-01,1,2026-01-01,2026-01-07,树模型一版,训练GBDT/调参 ; 特征重要性/校准 ; 错误分析
2026-01,2,2026-01-08,2026-01-14,接入执行路径,用模型输出控制切片 ; 风控阈值与回退 ; 与基线对比
2026-01,3,2026-01-15,2026-01-21,简历V0与陈述,量化版简历V0 ; 3分钟电梯演讲 ; 收一次反馈
2026-01,4,2026-01-22,2026-01-28,补缺与清理,补统计/时序薄弱点 ; 题库每日2题 ; 代码清理
2026-01,5,2026-01-29,2026-02-04,补缺与清理,补统计/时序薄弱点 ; 题库每日2题 ; 代码清理
2026-02,1,2026-02-05,2026-02-11,项目2报告V1结构,撰写数据/方法/实验设计 ; 插入关键图表 ; 列局限与风险
2026-02,2,2026-02-12,2026-02-18,鲁棒性与单测,分组/滚动窗口实验 ; 补单测覆盖 ; 对比特征集
2026-02,3,2026-02-19,2026-02-25,题库推进,概率/统计/代码题台账 ; 每日2题+复盘 ; 模拟问答10问
2026-02,4,2026-02-26,2026-03-04,整合复盘,整理共用模块 ; 重跑实验 ; 问题-行动-结果清单
2026-03,1,2026-03-05,2026-03-11,简历V1定制,QR/执行双版简历 ; 项目要点量化 ; 反馈收集
2026-03,2,2026-03-12,2026-03-18,路演与Q&A,15分钟路演稿 ; 10个高频追问答 ; 录彩排一次
2026-03,3,2026-03-19,2026-03-25,公司研究与台账,目标公司研究 ; JD→要点映射 ; 投递台账v0.1
2026-03,4,2026-03-26,2026-04-01,模拟面试1轮,约一次模拟 ; 复盘改简历与讲法 ; 题库巩固
2026-04,1,2026-04-02,2026-04-08,两项目定稿,仓库清理 ; README/图表/脚本一致 ; release v1.0
2026-04,2,2026-04-09,2026-04-15,发布与展示,撰写技术博文 ; 更新主页/LinkedIn/GitHub ; one-pager
2026-04,3,2026-04-16,2026-04-22,模拟面试2轮,本周2次模拟（QR/执行） ; 复杂追问演练 ; 错题本更新
2026-04,4,2026-04-23,2026-04-29,投递准备,最终审查 ; 完善台账（联系人/渠道） ; 冷邮件模板
2026-04,5,2026-04-30,2026-05-06,投递准备,最终审查 ; 完善台账（联系人/渠道） ; 冷邮件模板
2026-05,1,2026-05-07,2026-05-13,投递前检查,岗位匹配自检 ; 讲稿微调 ; 设置每日节奏
2026-05,2,2026-05-14,2026-05-15,启动投递,优先投递S/A级 ; 记录反馈与跟进 ; 安排笔试面试
